Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Radiology PA and Notification List (Commercial),,Policy Database,United Healthcare,,,"Commercial,Medicare Advantage,Medicare Part D","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FN",57,"Commercial: [AZ,CO,DC,FL,IL,KY,MD,MO,MS,NC,NE,NV,OK,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,IA,ID,IN,KS,LA,MA,ME,MN,NH,NJ,NM,NY,OH,OR,PA,RI,UT,VI,WI,WV,WY,MI,HI,MT],Medicare Advantage: [AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY],Medicare Part D: [AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]","Coding Document,Prior Authorization (PA) List","[""Administrative Documents->Coding Documents"",""Prior Authorization->PA Lists""]",https://portal.policyreporter.com/geturlupdate.php?urlid=20810&updateid=4147553,https://portal.policyreporter.com/policy-updates/20810,20810,,2/29/2024,Active,2/29/2024,,2/28/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec0L7HLHaldnUmNO-20810-AKRadiology PA an,rec0L7HLHaldnUmNO
New Patient Visits,,Policy Database,Florida Blue,,,"Commercial,Federal Employer,Medicare Advantage,Medicare Part D",FL,1,"Commercial: [FL],Federal Employer: [FL],Medicare Advantage: [FL],Medicare Part D: [FL]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Evaluation Management Billing->New Patient E&M""]",https://portal.policyreporter.com/geturlupdate.php?urlid=22298&updateid=4345907,https://portal.policyreporter.com/policy-updates/22298,22298,,6/18/2024,Active,6/13/2024,,6/13/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec2zdMavSdDXrVRM-22298-FLNew Patient Vis,rec2zdMavSdDXrVRM
Anesthesia Services,,Policy Database,Florida Blue,,,"Commercial,Medicare Advantage",FL,1,"Commercial: [FL],Medicare Advantage: [FL]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Hospital Services Billing->Anesthesia Payment""]",https://portal.policyreporter.com/geturlupdate.php?urlid=22300&updateid=4345879,https://portal.policyreporter.com/policy-updates/22300,22300,,6/18/2024,Active,6/13/2024,,6/13/2025,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecBkV6bzLTxs237j-22300-FLAnesthesia Serv,recBkV6bzLTxs237j
Portable X Ray and EKG Supplier Services,,Policy Database,Florida Blue,,,"Commercial,Federal Employer,Medicare Advantage,Medicare Part D",FL,1,"Commercial: [FL],Federal Employer: [FL],Medicare Advantage: [FL],Medicare Part D: [FL]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Hospital Services Billing->Radiology Services Payment""]",https://portal.policyreporter.com/geturlupdate.php?urlid=22302&updateid=4388509,https://portal.policyreporter.com/policy-updates/22302,22302,,7/12/2024,Active,7/11/2024,,7/11/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec3UypJBzTSdvhl6-22302-FLPortable X Ray ,rec3UypJBzTSdvhl6
"Physical Medicine and Rehabilitation: Multiple Therapy Procedure Reduction, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Rehabilitative Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=25841&updateid=4699426,https://portal.policyreporter.com/policy-updates/25841,25841,,1/2/2025,Active,1/1/2025,,1/1/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreclL30QNf8IMWUi2-25841-AKPhysical Medici,reclL30QNf8IMWUi2
Maximum Units of Service,,Policy Database,Florida Blue,,,"Commercial,Federal Employer,Medicare Advantage,Medicare Part D",FL,1,"Commercial: [FL],Federal Employer: [FL],Medicare Advantage: [FL],Medicare Part D: [FL]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Coding and Billing Disputes->Maximum Units""]",https://portal.policyreporter.com/geturlupdate.php?urlid=27893&updateid=4616558,https://portal.policyreporter.com/policy-updates/27893,27893,,11/16/2024,Active,11/14/2024,,11/14/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecRUfxh2pZsTIsDn-27893-FLMaximum Units o,recRUfxh2pZsTIsDn
"Observation and Discharge Policy, Professional (Commercial)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Multiple Procedures Billing->Duplicate\/Repeat\/Subsequent Service Billing"",""Payment Policies->Billing Policies->Observation Services Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=29346&updateid=4879754,https://portal.policyreporter.com/policy-updates/29346,29346,,5/3/2025,Active,5/1/2025,,5/1/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecKgKfJWCNH5Eq57-29346-AKObservation and,recKgKfJWCNH5Eq57
Preventive Services,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Medical Policy,"[""Preventive Services->Preventive Practice Guidelines""]",https://portal.policyreporter.com/geturlupdate.php?urlid=29828&updateid=4877866,https://portal.policyreporter.com/policy-updates/29828,29828,,5/2/2025,Active,5/1/2025,,5/1/2026,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecTLSrz0DwVqFHI4-29828-FLPreventive Serv,recTLSrz0DwVqFHI4
Adult Wellness,,Policy Database,BCBS Illinois,,,"Commercial,Federal Employer,Managed Medicaid,Medicare Advantage,Medicare Part D,Medicare-Medicaid Dual-Eligibles","IL,IN",2,"Commercial: [IL],Federal Employer: [IL],Managed Medicaid: [IL],Medicare Advantage: [IL],Medicare Part D: [IL],Medicare-Medicaid Dual-Eligibles: [IL,IN]",Guideline,"[""Preventive Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=32833&updateid=168306,https://portal.policyreporter.com/policy-updates/32833,32833,,1/20/2016,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec9VsKdI8Jqmm0ey-32833-ILAdult Wellness,rec9VsKdI8Jqmm0ey
Group Medical PPO Plan Option 2A,,Policy Database,BCBS Illinois,,,"Commercial,Federal Employer,Managed Medicaid,Medicare Advantage,Medicare Part D,Medicare-Medicaid Dual-Eligibles","IL,IN",2,"Commercial: [IL],Federal Employer: [IL],Managed Medicaid: [IL],Medicare Advantage: [IL],Medicare Part D: [IL],Medicare-Medicaid Dual-Eligibles: [IL,IN]",Summary of Benefits,"[""Payment Policies->Plan Documents->Summary of Benefits""]",https://portal.policyreporter.com/geturlupdate.php?urlid=35899&updateid=3572459,https://portal.policyreporter.com/policy-updates/35899,35899,,5/5/2023,Active,1/1/2023,,1/1/2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecRe1MFTCIBvKoXW-35899-ILGroup Medical P,recRe1MFTCIBvKoXW
"Office Place of Service (Non-California, Commercial)",,Policy Database,Anthem,,,Commercial,"CO,CT,GA,IN,KY,LA,ME,MO,NH,NV,OH,OR,VA,WI",14,"Commercial: [CO,CT,GA,IN,KY,ME,MO,NH,NV,OH,VA,WI,LA,OR]",Reimbursement & Billing Document,"[""Payment Policies->Point of Service Billing->Non-Hospital Health Facilities->Office Based Programs""]",https://portal.policyreporter.com/geturlupdate.php?urlid=324238&updateid=3705649,https://portal.policyreporter.com/policy-updates/324238,36175,,7/28/2023,Active,6/1/2019,,6/1/2020,2604530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec4MuVnELg2hxMem-36175-COOffice Place of,rec4MuVnELg2hxMem
"Provider Appeal Form, Instructions",,Policy Database,Florida Blue,,,"Commercial,Federal Employer,Medicare Advantage,Medicare Part D",FL,1,"Commercial: [FL],Federal Employer: [FL],Medicare Advantage: [FL],Medicare Part D: [FL]",Appeals Form,"[""Payment Policies->Billing Policies->PA Appeals Claims""]",https://portal.policyreporter.com/geturlupdate.php?urlid=36361&updateid=129950,https://portal.policyreporter.com/policy-updates/36361,36361,,11/9/2015,Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecZbFn6Olf0r39xF-36361-FLProvider Appeal,recZbFn6Olf0r39xF
Appeal Process,,Policy Database,BCBS Illinois,,,"Commercial,Federal Employer,Managed Medicaid,Medicare Advantage,Medicare Part D,Medicare-Medicaid Dual-Eligibles","IL,IN",2,"Commercial: [IL],Federal Employer: [IL],Managed Medicaid: [IL],Medicare Advantage: [IL],Medicare Part D: [IL],Medicare-Medicaid Dual-Eligibles: [IL,IN]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->PA Appeals Claims""]",https://portal.policyreporter.com/geturlupdate.php?urlid=36415&updateid=4101363,https://portal.policyreporter.com/policy-updates/36415,36415,,2/3/2024,Active,2/3/2024,,2/3/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecPhBn1kqaI6pXWU-36415-ILAppeal Process,recPhBn1kqaI6pXWU
Appeals Process,,Policy Database,BCBS Texas,,,"CHIP,Commercial,Federal Employer,Managed Medicaid,Medicare Advantage,Medicare Part D",TX,1,"CHIP: [TX],Commercial: [TX],Federal Employer: [TX],Managed Medicaid: [TX],Medicare Advantage: [TX],Medicare Part D: [TX]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->PA Appeals Claims""]",https://portal.policyreporter.com/geturlupdate.php?urlid=36417&updateid=4216521,https://portal.policyreporter.com/policy-updates/36417,36417,,4/3/2024,Active,4/3/2024,,4/3/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecxyemX3ANg1Teq8-36417-TXAppeals Process,recxyemX3ANg1Teq8
External Insulin Infusion Pump,,Policy Database,Blue Shield California,,,Commercial,CA,1,Commercial: [CA],Medical Policy,"[""Medical Supplies->Diabetic Supplies->Insulin Pumps""]",https://portal.policyreporter.com/geturlupdate.php?urlid=37207&updateid=4432257,https://portal.policyreporter.com/policy-updates/37207,37207,,8/12/2024,Active,8/1/2024,,8/1/2025,1991851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec0F7lbBi2KI8sX5-37207-CAExternal Insuli,rec0F7lbBi2KI8sX5
"Continuity of Care (Commercial OK, OR, TX, WA West)",,Policy Database,United Healthcare,,,Commercial,"OK,OR,TX,WA",4,"Commercial: [OK,TX,WA,OR]",Reimbursement & Billing Document,"[""Payment Policies->Point of Service Billing->Specialized Care Services->Continuity of Care""]",https://portal.policyreporter.com/geturlupdate.php?urlid=299135&updateid=4701621,https://portal.policyreporter.com/policy-updates/299135,37225,,1/3/2025,Pending,,,2/1/2026,262075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecRODibXfgEJYiLN-37225-OKContinuity of C,recRODibXfgEJYiLN
External Insulin Infusion Pumps and Continuous Glucose Monitors,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Medical Policy,"[""Medical Supplies->Diabetic Supplies->Glucose Monitoring->Continuous Glucose Monitoring (CGM)"",""Medical Supplies->Diabetic Supplies->Insulin Pumps""]",https://portal.policyreporter.com/geturlupdate.php?urlid=37356&updateid=4836143,https://portal.policyreporter.com/policy-updates/37356,37356,,4/2/2025,Active,4/1/2025,,4/1/2026,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec7a93m7rdcDTKgl-37356-FLExternal Insuli,rec7a93m7rdcDTKgl
Glucose Monitoring and Insulin Delivery Devices for Managing Diabetes (Commercial),,Policy Database,BCBS Illinois,,,Commercial,IL,1,Commercial: [IL],Medical Policy,"[""Medical Supplies->Diabetic Supplies""]",https://portal.policyreporter.com/geturlupdate.php?urlid=37361&updateid=4778286,https://portal.policyreporter.com/policy-updates/37361,37361,,2/21/2025,Active,2/1/2025,,2/1/2026,1844563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec4A2WR1ymGWOY6q-37361-ILGlucose Monitor,rec4A2WR1ymGWOY6q
Bilateral Procedures,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Multiple Procedures Billing->Bilateral Procedure Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=311032&updateid=4888804,https://portal.policyreporter.com/policy-updates/311032,37434,,5/9/2025,Active,5/8/2025,,5/8/2026,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecG2kVrGOvG3lw5J-37434-FLBilateral Proce,recG2kVrGOvG3lw5J
Skilled Nursing and Skilled Rehabilitation Services Outpatient,,Policy Database,Anthem,,,"Managed Medicaid,Commercial","CA,CO,CT,GA,IN,KY,LA,ME,MO,NH,NV,NY,OH,OR,VA,WI,NE",17,"Managed Medicaid: [CA,IN,KY,MO,NE,NV,NY,VA,WI],Commercial: [CA,CO,CT,IN,KY,LA,ME,MO,NH,NV,OH,VA,WI,GA,NY,OR]",Medical Policy,"[""Payment Policies->Point of Service Billing->Non-Hospital Health Facilities->Skilled Nursing Facility""]",https://portal.policyreporter.com/geturlupdate.php?urlid=38027&updateid=4893609,https://portal.policyreporter.com/policy-updates/38027,38027,,5/12/2025,Active,,,,4736882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecueOYTn2dxKW6fO-38027-CASkilled Nursing,recueOYTn2dxKW6fO
DME Introduction (Commercial),,Policy Database,BCBS Illinois,,,Commercial,IL,1,Commercial: [IL],Medical Policy,"[""Durable Medical Equipment->DME General""]",https://portal.policyreporter.com/geturlupdate.php?urlid=39509&updateid=4793986,https://portal.policyreporter.com/policy-updates/39509,39509,,3/4/2025,Active,3/4/2025,,3/4/2026,1844563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecStt97sJH5YLkyd-39509-ILDME Introductio,recStt97sJH5YLkyd
