Document Title,uuid_formula,airtable_uuid,duplicate_flagger
"Chemotherapy Observation or Inpatient Hospitalization (Commercial, Individual Exchange)",CHIR_IDrecWbHb6uQ1XoToVz-113800-AKChemotherapy Ob,recWbHb6uQ1XoToVz,non_duplicate
"Outpatient Surgical Procedures - Site of Service (Commercial, Individual Exchange)",CHIR_IDrecupDNDS0mFz9FaR-113829-AKOutpatient Surg,recupDNDS0mFz9FaR,non_duplicate
"Home Hemodialysis (Commercial, Individual Exchange)",CHIR_IDrece42dOP2ZXRJ0Qm-11616-AKHome Hemodialys,rece42dOP2ZXRJ0Qm,non_duplicate
Afrezza (Medical Necessity),CHIR_IDrec3hRHPFrsvRwV3f-117810-AKAfrezza (Medica,rec3hRHPFrsvRwV3f,non_duplicate
Rapid Acting Insulin,CHIR_IDrec7qz6W2IL18NEnA-117823-CARapid Acting In,rec7qz6W2IL18NEnA,non_duplicate
Insulin,CHIR_IDreci09ocEr6l4KBqT-118771-AKInsulin,reci09ocEr6l4KBqT,non_duplicate
Vaccines (Commercial),CHIR_IDrecG2OQRzKkP6eiMo-118826-AKVaccines (Comme,recG2OQRzKkP6eiMo,non_duplicate
Bundled Services and Supplies - Professional,CHIR_IDrecO0InU1GqnNsF1K-12302-NYBundled Service,recO0InU1GqnNsF1K,non_duplicate
PA/ST Program,CHIR_IDrecJap5ATgZGl6QdV-128286-TXPA/ST Program,recJap5ATgZGl6QdV,non_duplicate
Injectable Medications,CHIR_IDrecWW8c1eZEG8EBpR-129672-AKInjectable Medi,recWW8c1eZEG8EBpR,non_duplicate
Medication,CHIR_IDrecN2aTwGpIFpI7fJ-129673-AKMedication,recN2aTwGpIFpI7fJ,non_duplicate
Texas Standard PA Request Form,CHIR_IDrecDBShNq6x99zDgl-131015-TXTexas Standard ,recDBShNq6x99zDgl,non_duplicate
Interim New Product Coverage Criteria (Notification),CHIR_IDrecby9aOEyE7uEi5y-131024-AKInterim New Pro,recby9aOEyE7uEi5y,non_duplicate
Durable Medical Equipment,CHIR_IDrecK0X7ur5sDpsIK6-1314-CADurable Medical,recK0X7ur5sDpsIK6,non_duplicate
Glucose Test Strips,CHIR_IDrecnpHV6gbWYmnxu4-131423-ILGlucose Test St,recnpHV6gbWYmnxu4,cross_state_duplicate
Glucose Test Strips,CHIR_IDrectIswHdlkAzhGWz-131423-TXGlucose Test St,rectIswHdlkAzhGWz,cross_state_duplicate
Afrezza (Commercial),CHIR_IDrecjamd4SeggnSahd-131924-ILAfrezza (Commer,recjamd4SeggnSahd,cross_state_duplicate
Afrezza (Commercial),CHIR_IDrecAvMHcgfTsqi0gY-131924-TXAfrezza (Commer,recAvMHcgfTsqi0gY,cross_state_duplicate
Afrezza (Commercial),CHIR_IDrecwIknHaWCkRYotA-131930-ILAfrezza (Commer,recwIknHaWCkRYotA,cross_state_duplicate
Afrezza (Commercial),CHIR_IDrecyJyTXU97ZafUxY-131930-TXAfrezza (Commer,recyJyTXU97ZafUxY,cross_state_duplicate
Durable Medical Equipment,CHIR_IDrec3wD0IZKQJ0ezgB-1323-FLDurable Medical,rec3wD0IZKQJ0ezgB,non_duplicate
Insulin (Commercial),CHIR_IDrecM7JlDBv2pQF29Q-132779-ILInsulin (Commer,recM7JlDBv2pQF29Q,cross_state_duplicate
Insulin (Commercial),CHIR_IDrecBd1js66pfyv4xi-132779-TXInsulin (Commer,recBd1js66pfyv4xi,cross_state_duplicate
Korlym (Commercial),CHIR_IDrecJhIKcWifXNq9tR-132868-ILKorlym (Commerc,recJhIKcWifXNq9tR,cross_state_duplicate
Korlym (Commercial),CHIR_IDrecRxTtmwtyZNpDw7-132868-TXKorlym (Commerc,recRxTtmwtyZNpDw7,cross_state_duplicate
Korlym (Commercial),CHIR_IDrecpNrcn3sK6sTR8F-132876-ILKorlym (Commerc,recpNrcn3sK6sTR8F,cross_state_duplicate
Korlym (Commercial),CHIR_IDrecoKMiFnIMfOiRTI-132876-TXKorlym (Commerc,recoKMiFnIMfOiRTI,cross_state_duplicate
General PA Form (Commercial),CHIR_IDrec2XSPhPIL4lDGRR-133915-ILGeneral PA Form,rec2XSPhPIL4lDGRR,cross_state_duplicate
General PA Form (Commercial),CHIR_IDrecWoBS5K4CmGifHL-133915-TXGeneral PA Form,recWoBS5K4CmGifHL,cross_state_duplicate
Notification/PA Requirements (Commercial),CHIR_IDrecN5e0TyJS8Ik4Ey-134147-AKNotification/PA,recN5e0TyJS8Ik4Ey,non_duplicate
Safety Items (Commercial),CHIR_IDrecdzI60WdLGta5K3-134523-AKSafety Items (C,recdzI60WdLGta5K3,non_duplicate
Platinum 90 PPO (Individual),CHIR_IDrec2JHOfUF10gRvJM-134544-CAPlatinum 90 PPO,rec2JHOfUF10gRvJM,non_duplicate
Human Papillomavirus (HPV) Vaccines (Commercial),CHIR_IDrecoRjT4zxQijmqgK-134566-AKHuman Papilloma,recoRjT4zxQijmqgK,non_duplicate
"Indications, Dosages and Administration of FDA-Approved Drugs (Commercial)","CHIR_IDrecELrqu2JWhFTNOl-134840-AKIndications, Do",recELrqu2JWhFTNOl,non_duplicate
Drugs/Biologics without Coverage Guideline,CHIR_IDrecyXY4lOffRbIEns-135097-FLDrugs/Biologics,recyXY4lOffRbIEns,non_duplicate
Dispensing Limit Override,CHIR_IDreczAXKZzq43H1Is2-135217-ILDispensing Limi,reczAXKZzq43H1Is2,cross_state_duplicate
Dispensing Limit Override,CHIR_IDrecfnKfWxOY70jS0v-135217-TXDispensing Limi,recfnKfWxOY70jS0v,cross_state_duplicate
Antepartum Fetal Surveillance (Commercial),CHIR_IDrec8ewo0CrasvKGnH-135894-AKAntepartum Feta,rec8ewo0CrasvKGnH,non_duplicate
Anthrax Vaccine/Treatment (Commercial),CHIR_IDrecBp30SpxjXQm2fr-135895-AKAnthrax Vaccine,recBp30SpxjXQm2fr,non_duplicate
Cancer Vaccines (Commercial),CHIR_IDreceS6IHJK32s5SKW-135913-AKCancer Vaccines,receS6IHJK32s5SKW,non_duplicate
Coumadin (Warfarin) to Heparin Conversion Before and After Elective Surgery (Commercial),CHIR_IDrecGi7t2oa4buTfSh-135931-AKCoumadin (Warfa,recGi7t2oa4buTfSh,non_duplicate
Hepatitis A Vaccine (Commercial),CHIR_IDrec9aEHyCNQhoNSoO-135975-AKHepatitis A Vac,rec9aEHyCNQhoNSoO,non_duplicate
Hepatitis B Vaccine (Commercial),CHIR_IDrecUmSjlFddUEIjn3-135976-AKHepatitis B Vac,recUmSjlFddUEIjn3,non_duplicate
Home Health Aides (Commercial),CHIR_IDrecdMQG34VANcOiw5-135979-AKHome Health Aid,recdMQG34VANcOiw5,non_duplicate
Influenza Vaccine (Commercial),CHIR_IDrec9XQekZrJzJS0el-135991-AKInfluenza Vacci,rec9XQekZrJzJS0el,non_duplicate
Injectable Medications (Commercial),CHIR_IDrecCY9bNbP4KTBLN0-135992-AKInjectable Medi,recCY9bNbP4KTBLN0,non_duplicate
Inpatient Admission Prior to Surgery (Preop Days) (Commercial),CHIR_IDrecpVpd6tePBKSmR9-135993-AKInpatient Admis,recpVpd6tePBKSmR9,non_duplicate
Low Vision Programs (Commercial),CHIR_IDrecYpQkkIfjCJr4e8-136005-AKLow Vision Prog,recYpQkkIfjCJr4e8,non_duplicate
Meningococcal Vaccine (Commercial),CHIR_IDrecZJyMbIfUqcg0vC-136018-AKMeningococcal V,recZJyMbIfUqcg0vC,non_duplicate
Obsolete and Unreliable Tests and Procedures (Commercial),CHIR_IDrecx7PsYL1dGacSMN-136030-AKObsolete and Un,recx7PsYL1dGacSMN,non_duplicate
Outpatient Medical Self-Care Programs (Commercial),CHIR_IDrecscshxqjEd7hWsp-136035-AKOutpatient Medi,recscshxqjEd7hWsp,non_duplicate
Pneumococcal Vaccine (Commercial),CHIR_IDrecAtXrNCpHYSs5bQ-136048-AKPneumococcal Va,recAtXrNCpHYSs5bQ,non_duplicate
Polio Vaccine (Commercial),CHIR_IDrec72PJZKF0JDjsiB-136049-AKPolio Vaccine (,rec72PJZKF0JDjsiB,non_duplicate
Prenatal Care Provided by Primary Care Physicians (Commercial),CHIR_IDrecsxicWSdN6ehHCT-136052-AKPrenatal Care P,recsxicWSdN6ehHCT,non_duplicate
Skilled Home Health Care Nursing Services (Commercial),CHIR_IDrecMMIonwL1VR6y66-136074-AKSkilled Home He,recMMIonwL1VR6y66,non_duplicate
Skilled Home Private Duty Nursing Care (Commercial),CHIR_IDreclZOLoI27BguclI-136075-AKSkilled Home Pr,reclZOLoI27BguclI,non_duplicate
Vaccines for Travel (Commercial),CHIR_IDrecpi0mFpjsYYURp1-136114-AKVaccines for Tr,recpi0mFpjsYYURp1,non_duplicate
Varicella and Herpes Zoster Vaccines (Commercial),CHIR_IDrecQnskXRWiDskHYv-136115-AKVaricella and H,recQnskXRWiDskHYv,non_duplicate
Standard Formulary (DMHC) (Health Plan),CHIR_IDrecnEX1X1DNveXeAe-136813-AKStandard Formul,recnEX1X1DNveXeAe,non_duplicate
Open Medication Guide (Health Plan),CHIR_IDrecVvia4Pu6VHM9Gu-136815-AKOpen Medication,recVvia4Pu6VHM9Gu,non_duplicate
Closed Medication Guide (Health Plan),CHIR_IDrecjrAjcPKtKkec7x-136816-AKClosed Medicati,recjrAjcPKtKkec7x,non_duplicate
Basic Drug List (Health Plan),CHIR_IDrecaFb1RpCNsr1lxH-136824-AKBasic Drug List,recaFb1RpCNsr1lxH,payer_duplicate
Basic Drug List (Health Plan),CHIR_IDrecjpmbKmCx05vbKA-136824-AKBasic Drug List,recjpmbKmCx05vbKA,payer_duplicate
Select Drug List 4-Tier (Individual) (CA),CHIR_IDrecxjKYh28X1OaUpx-136867-CASelect Drug Lis,recxjKYh28X1OaUpx,non_duplicate
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrec6XkY18NrajcyUl-136874-WAAccess/Alliance,rec6XkY18NrajcyUl,true_duplicate
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecKtKHDPQ2MtzM22-136874-WAAccess/Alliance,recKtKHDPQ2MtzM22,true_duplicate
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecLZCexdeVmK68Fr-136874-WAAccess/Alliance,recLZCexdeVmK68Fr,true_duplicate
Generic Choices Medication Guide (FL Health Plan),CHIR_IDrecDu0lunmuQ38R9D-136930-AKGeneric Choices,recDu0lunmuQ38R9D,non_duplicate
Enhanced Drug List (Health Plan),CHIR_IDrecskgWE9nCWTRM8V-136972-AKEnhanced Drug L,recskgWE9nCWTRM8V,payer_duplicate
Enhanced Drug List (Health Plan),CHIR_IDrecLlzcaf1l2ElYN5-136972-AKEnhanced Drug L,recLlzcaf1l2ElYN5,payer_duplicate
Cigna Performance 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,recJd5kD6r5l5kdhh,non_duplicate
Cigna Performance Four Tier Prescription Drug List (Health Plan),CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,recopGdpAEow8JYII,non_duplicate
Cigna Advantage 3-Tier Prescription Drug List (Health Plan),CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,rech1mbeY7bu1smZ5,non_duplicate
Cigna Advantage Four Tier Prescription Drug List (Health Plan),CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,rec19rlq1vtNSOYbr,non_duplicate
National 3-Tier Drug List for Fully-Insured Members (NY),CHIR_IDrecuCte7WtJTdFadr-137002-NYNational 3-Tier,recuCte7WtJTdFadr,non_duplicate
Select 3-Tier Drug List (Individual) (NY),CHIR_IDrecLhKC43YmlAWay3-137003-NYSelect 3-Tier D,recLhKC43YmlAWay3,non_duplicate
Contraceptive Drug List (Health Plan),CHIR_IDrechGG8yAtC25crhp-137034-AKContraceptive D,rechGG8yAtC25crhp,non_duplicate
Health Care Reform Preventive Care Drug List (Health Plan),CHIR_IDrecOn0pBdOg8RdTWK-137226-AKHealth Care Ref,recOn0pBdOg8RdTWK,non_duplicate
High Value Preventive Medicine List (Health Plan),CHIR_IDrecvK6UAJOwA0HfzU-137227-AKHigh Value Prev,recvK6UAJOwA0HfzU,non_duplicate
National Drug List 4-Tier (Commercial),CHIR_IDrec3QGUETY6TDgpEX-137264-AKNational Drug L,rec3QGUETY6TDgpEX,non_duplicate
Anthem 3 Tier National Drug List,CHIR_IDrec9r4tcLFeHXRq6B-137265-AKAnthem 3 Tier N,rec9r4tcLFeHXRq6B,non_duplicate
Anthem Exclusive Specialty Drug List,CHIR_IDrecwZEQMS1sKAaSFv-137266-AKAnthem Exclusiv,recwZEQMS1sKAaSFv,non_duplicate
PreventiveRx Expanded Plan (National),CHIR_IDrecRhpMXdViD3Zak4-137269-AKPreventiveRx Ex,recRhpMXdViD3Zak4,non_duplicate
Standard Formulary Specialty Drug List (DMHC) (Health Plan),CHIR_IDrec6Vn9vffNOFljc0-137316-AKStandard Formul,rec6Vn9vffNOFljc0,non_duplicate
Value Formulary High Deductible (HDHP) Preventive Drug List (Health Plan),CHIR_IDrechAVHWKIUdZWDzu-137317-AKValue Formulary,rechAVHWKIUdZWDzu,non_duplicate
Women's Preventive Health Contraceptive Drugs and Devices List (Health Plan),CHIR_IDrecL2VXfrbJKtCy6D-137318-AKWomen's Prevent,recL2VXfrbJKtCy6D,non_duplicate
Plus Drug Formulary (Grandfathered CDI) (Health Plan),CHIR_IDrecoLjijgZkfLyanJ-137320-AKPlus Drug Formu,recoLjijgZkfLyanJ,non_duplicate
Plus Formulary Specialty Drug List (Health Plan),CHIR_IDrecZI4N1gVTZ2ZZUO-137321-AKPlus Formulary ,recZI4N1gVTZ2ZZUO,non_duplicate
ValueScript Rx Medication Drug Guide (FL Health Plan),CHIR_IDrectPk81cFOUvkjZV-137327-AKValueScript Rx ,rectPk81cFOUvkjZV,non_duplicate
Care Choices Medication Guide (FL Health Plan),CHIR_IDrecntLNRSt8KOEFDv-137328-AKCare Choices Me,recntLNRSt8KOEFDv,non_duplicate
Self-Administered Specialty Drugs (FL Health Plan),CHIR_IDreceJeU0Cl9VYyk1Q-137329-AKSelf-Administer,receJeU0Cl9VYyk1Q,non_duplicate
Provider Administered Specialty Drugs (FL Health Plan),CHIR_IDrecVtmxJvOahOmOUN-137330-AKProvider Admini,recVtmxJvOahOmOUN,non_duplicate
Contraceptive Drug List (Health Plan),CHIR_IDrecc9lUmMgZCEzwZ0-137348-AKContraceptive D,recc9lUmMgZCEzwZ0,non_duplicate
Multi-Tier Enhanced Drug List (Health Plan),CHIR_IDrec7Ky23fW2U3T0P9-137357-AKMulti-Tier Enha,rec7Ky23fW2U3T0P9,payer_duplicate
Multi-Tier Enhanced Drug List (Health Plan),CHIR_IDrecvXJ4V4RuLddFme-137357-AKMulti-Tier Enha,recvXJ4V4RuLddFme,payer_duplicate
Home Infusion Therapy Exclusion List (NY),CHIR_IDrec4jPEUi8ARp7P3I-137465-NYHome Infusion T,rec4jPEUi8ARp7P3I,non_duplicate
United Healthcare Prescription Drug List (Health Plan),CHIR_IDreca2lnlupkzA6Xmz-137631-AKUnited Healthca,reca2lnlupkzA6Xmz,non_duplicate
United Healthcare Advantage 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecOfsIoR4PwWMAQ8-137632-AKUnited Healthca,recOfsIoR4PwWMAQ8,non_duplicate
Marketplace Formulary (Commercial) (OR),CHIR_IDrecbkwrMwOqsqiMsm-137645-ORMarketplace For,recbkwrMwOqsqiMsm,true_duplicate
Marketplace Formulary (Commercial) (OR),CHIR_IDrectKLQFKg2lcKln8-137645-ORMarketplace For,rectKLQFKg2lcKln8,true_duplicate
Marketplace Formulary (Commercial) (OR),CHIR_IDrectwIqpW10nxaVvW-137645-ORMarketplace For,rectwIqpW10nxaVvW,true_duplicate
United Healthcare Advantage 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecIS7whWQ8iq2JH0-137652-AKUnited Healthca,recIS7whWQ8iq2JH0,non_duplicate
UnitedHealthcare Traditional 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecwwOdnkygdVvZN4-137653-AKUnitedHealthcar,recwwOdnkygdVvZN4,non_duplicate
UnitedHealthcare Traditional 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecdFcsBCD8yKC1Px-137654-AKUnitedHealthcar,recdFcsBCD8yKC1Px,non_duplicate
Marketplace Formulary (Commercial) (CA),CHIR_IDrec5db2IwtNbNL3bZ-137656-CAMarketplace For,rec5db2IwtNbNL3bZ,true_duplicate
Marketplace Formulary (Commercial) (CA),CHIR_IDrecCfyv9JcjATLiSy-137656-CAMarketplace For,recCfyv9JcjATLiSy,true_duplicate
Marketplace Formulary (Commercial) (CA),CHIR_IDreczWCkRnabJ7tAhY-137656-CAMarketplace For,reczWCkRnabJ7tAhY,true_duplicate
Essential Drug List 4-Tier (Commercial),CHIR_IDrecJwQzHVpasI2kwC-137924-AKEssential Drug ,recJwQzHVpasI2kwC,non_duplicate
Select Drug List 4-Tier (Individual) (CO),CHIR_IDrecXoOzNEh6ghaqWX-138004-COSelect Drug Lis,recXoOzNEh6ghaqWX,non_duplicate
Select Drug List 4-Tier (Individual) (NV),CHIR_IDreczkMtE3cTjdRaRV-138005-NVSelect Drug Lis,reczkMtE3cTjdRaRV,non_duplicate
Select Drug List 4-Tier (Individual) (KY),CHIR_IDrecB120jNjMd4aIhg-138006-KYSelect Drug Lis,recB120jNjMd4aIhg,non_duplicate
Select Drug List 4-Tier (Individual) (IN),CHIR_IDrecWIhmChIFokVcd1-138007-INSelect Drug Lis,recWIhmChIFokVcd1,non_duplicate
Select Drug List 4-Tier (Individual) (WI),CHIR_IDrecSc6GBr9bPt4LS7-138008-WISelect Drug Lis,recSc6GBr9bPt4LS7,non_duplicate
Select Drug List 4-Tier (Individual) (VA),CHIR_IDrecQv2eJMitG0ixnM-138009-VASelect Drug Lis,recQv2eJMitG0ixnM,non_duplicate
National Drug List Closed Formulary (Health Plan),CHIR_IDrecL3pO8evIQahsSV-138034-AKNational Drug L,recL3pO8evIQahsSV,non_duplicate
Essential Drug List 3-Tier (Commercial),CHIR_IDrec2eXFqJZlRhut2n-138035-AKEssential Drug ,rec2eXFqJZlRhut2n,non_duplicate
Participating Provider Precertification List,CHIR_IDrecSnHwUiurQKpz0e-138654-AKParticipating P,recSnHwUiurQKpz0e,non_duplicate
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecDkoAM63o54gzgd-138656-WACore/ Access PP,recDkoAM63o54gzgd,true_duplicate
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecPPq6pRCppowgLD-138656-WACore/ Access PP,recPPq6pRCppowgLD,true_duplicate
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecUJrtctQJTs0vEK-138656-WACore/ Access PP,recUJrtctQJTs0vEK,true_duplicate
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrechFlMnx1V49gBin-138660-WALarge Group All,rechFlMnx1V49gBin,true_duplicate
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecqXxDEvg0HSuk3S-138660-WALarge Group All,recqXxDEvg0HSuk3S,true_duplicate
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecybALANzq2wz3ji-138660-WALarge Group All,recybALANzq2wz3ji,true_duplicate
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecVhAbrYzRv2p7DA-138661-WAPEBB SoundChoic,recVhAbrYzRv2p7DA,true_duplicate
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecfHTAnRMe3ZZLRM-138661-WAPEBB SoundChoic,recfHTAnRMe3ZZLRM,true_duplicate
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecvrsNIY79WFP4ts-138661-WAPEBB SoundChoic,recvrsNIY79WFP4ts,true_duplicate
Preventive Care,CHIR_IDrecziwzjqZ5BaVAev-140873-TXPreventive Care,recziwzjqZ5BaVAev,non_duplicate
Preventive Care,CHIR_IDrecodGd3Atb56cBW7-140874-ILPreventive Care,recodGd3Atb56cBW7,non_duplicate
Medical Exception Form,CHIR_IDrecPBuK6iej1cdoEA-14123-AKMedical Excepti,recPBuK6iej1cdoEA,non_duplicate
Preventive Care Services (Commercial),CHIR_IDreclALVfi8iehnp55-141523-AKPreventive Care,reclALVfi8iehnp55,non_duplicate
"Affordable Care Act, Preventive Services",CHIR_IDrecBsRU4QRS5UvCwm-141567-ILAffordable Care,recBsRU4QRS5UvCwm,non_duplicate
"Affordable Care Act, Preventive Services",CHIR_IDrecTpFW1kwM2V07kv-141568-TXAffordable Care,recTpFW1kwM2V07kv,non_duplicate
Ambulance and Transport Services (Commercial),CHIR_IDrecUAkkXcQyb083mK-142040-ILAmbulance and T,recUAkkXcQyb083mK,cross_state_duplicate
Ambulance and Transport Services (Commercial),CHIR_IDrec5GQlPEKlzeVb0x-142040-TXAmbulance and T,rec5GQlPEKlzeVb0x,cross_state_duplicate
Investigational Services,CHIR_IDrecmUD1cyN4UuLrXw-142916-FLInvestigational,recmUD1cyN4UuLrXw,non_duplicate
Non-Covered Services (Commercial),CHIR_IDrecRI2IF641R0O8Tn-144012-FLNon-Covered Ser,recRI2IF641R0O8Tn,non_duplicate
Colorado Commercial HMO Formulary (Health Plan) (CO),CHIR_IDrecJAACO00EJmmqO5-146158-COColorado Commer,recJAACO00EJmmqO5,true_duplicate
Colorado Commercial HMO Formulary (Health Plan) (CO),CHIR_IDrecUnvIULE9mqLTG5-146158-COColorado Commer,recUnvIULE9mqLTG5,true_duplicate
Colorado Commercial HMO Formulary (Health Plan) (CO),CHIR_IDrecjGT53Tkcsz8zGX-146158-COColorado Commer,recjGT53Tkcsz8zGX,true_duplicate
Value Formulary Value-Based Tier Drug List (Health Plan),CHIR_IDrecj48feFIbzk7xhv-146534-AKValue Formulary,recj48feFIbzk7xhv,non_duplicate
Drugs that are Not Covered (FL Health Plan),CHIR_IDrecX1pmZMtSh8itHg-146885-AKDrugs that are ,recX1pmZMtSh8itHg,non_duplicate
Specialty Pharmacy Drug Management List (Health Plan),CHIR_IDrecJL6rxi6XZ40DGW-147249-AKSpecialty Pharm,recJL6rxi6XZ40DGW,non_duplicate
Prior Authorization Drug List (National Drug List) (NY),CHIR_IDrecJ9hbnS6xYNXem2-147764-NYPrior Authoriza,recJ9hbnS6xYNXem2,non_duplicate
Self-Administered Oncology Agents (Commercial),CHIR_IDrecfm5zpRmWYL4lk8-147900-ILSelf-Administer,recfm5zpRmWYL4lk8,cross_state_duplicate
Self-Administered Oncology Agents (Commercial),CHIR_IDrecUOpifZ5tcLzjRp-147900-TXSelf-Administer,recUOpifZ5tcLzjRp,cross_state_duplicate
Specialty Pharmacy Drug Management List (Health Plan),CHIR_IDrecKj4h7C7qEIMjFy-148555-AKSpecialty Pharm,recKj4h7C7qEIMjFy,non_duplicate
ACA Preventative Medications and Preferred Contraceptives Drug List (WA),CHIR_IDrecA6sR9p2cJV4Acu-149132-WAACA Preventativ,recA6sR9p2cJV4Acu,true_duplicate
ACA Preventative Medications and Preferred Contraceptives Drug List (WA),CHIR_IDrecuVEu6Br0ud98sG-149132-WAACA Preventativ,recuVEu6Br0ud98sG,true_duplicate
ACA Preventative Medications and Preferred Contraceptives Drug List (WA),CHIR_IDrecY2cRKtXGUCgFU2-149132-WAACA Preventativ,recY2cRKtXGUCgFU2,true_duplicate
Drugs Limited to Specific Pharmacies (WA),CHIR_IDrecnXYEpREwtbztVg-149133-WADrugs Limited t,recnXYEpREwtbztVg,true_duplicate
Drugs Limited to Specific Pharmacies (WA),CHIR_IDrecjzP03JRalyB1BO-149133-WADrugs Limited t,recjzP03JRalyB1BO,true_duplicate
Drugs Limited to Specific Pharmacies (WA),CHIR_IDrec7cUvdgAia3lJ1R-149133-WADrugs Limited t,rec7cUvdgAia3lJ1R,true_duplicate
"Bundled Services and Supplies - Professional (Non-California, Commercial)",CHIR_IDrec8ocFqNQDbzyvQz-149399-COBundled Service,rec8ocFqNQDbzyvQz,non_duplicate
Diabetic Meters and Test StripsÂ (Non-Formulary),CHIR_IDreclsxZBomzEwgFlr-149509-AKDiabetic Meters,reclsxZBomzEwgFlr,non_duplicate
Marketplace Formulary (Commercial) (WA),CHIR_IDrec5KejXXbPSAUPPy-149898-WAMarketplace For,rec5KejXXbPSAUPPy,true_duplicate
