Document Title,Policy subpart,uuid_formula,airtable_uuid,Implanted_Type,CGM_count
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrec6XkY18NrajcyUl-136874-WAAccess/Alliance,rec6XkY18NrajcyUl,no devices,0
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecKtKHDPQ2MtzM22-136874-WAAccess/Alliance,recKtKHDPQ2MtzM22,no devices,0
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecLZCexdeVmK68Fr-136874-WAAccess/Alliance,recLZCexdeVmK68Fr,no devices,0
Generic Choices Medication Guide (FL Health Plan),,CHIR_IDrecDu0lunmuQ38R9D-136930-AKGeneric Choices,recDu0lunmuQ38R9D,non-implanted only,5
Enhanced Drug List (Health Plan),,CHIR_IDrecskgWE9nCWTRM8V-136972-AKEnhanced Drug L,recskgWE9nCWTRM8V,non-implanted only,2
Enhanced Drug List (Health Plan),,CHIR_IDrecLlzcaf1l2ElYN5-136972-AKEnhanced Drug L,recLlzcaf1l2ElYN5,non-implanted only,2
Cigna Performance 3-Tier Prescription Drug List (Health Plan),,CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,recJd5kD6r5l5kdhh,non-implanted only,6
Cigna Performance Four Tier Prescription Drug List (Health Plan),,CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,recopGdpAEow8JYII,non-implanted only,6
Cigna Advantage 3-Tier Prescription Drug List (Health Plan),,CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,rech1mbeY7bu1smZ5,non-implanted only,6
Cigna Advantage Four Tier Prescription Drug List (Health Plan),,CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,rec19rlq1vtNSOYbr,non-implanted only,6
National 3-Tier Drug List for Fully-Insured Members (NY),,CHIR_IDrecuCte7WtJTdFadr-137002-NYNational 3-Tier,recuCte7WtJTdFadr,both implanted and non-implanted,10
High Value Preventive Medicine List (Health Plan),,CHIR_IDrecvK6UAJOwA0HfzU-137227-AKHigh Value Prev,recvK6UAJOwA0HfzU,non-implanted only,2
National Drug List 4-Tier (Commercial),,CHIR_IDrec3QGUETY6TDgpEX-137264-AKNational Drug L,rec3QGUETY6TDgpEX,both implanted and non-implanted,10
Anthem 3 Tier National Drug List,,CHIR_IDrec9r4tcLFeHXRq6B-137265-AKAnthem 3 Tier N,rec9r4tcLFeHXRq6B,both implanted and non-implanted,10
Plus Drug Formulary (Grandfathered CDI) (Health Plan),,CHIR_IDrecoLjijgZkfLyanJ-137320-AKPlus Drug Formu,recoLjijgZkfLyanJ,non-implanted only,8
ValueScript Rx Medication Drug Guide (FL Health Plan),,CHIR_IDrectPk81cFOUvkjZV-137327-AKValueScript Rx ,rectPk81cFOUvkjZV,non-implanted only,5
Care Choices Medication Guide (FL Health Plan),,CHIR_IDrecntLNRSt8KOEFDv-137328-AKCare Choices Me,recntLNRSt8KOEFDv,non-implanted only,5
Multi-Tier Enhanced Drug List (Health Plan),,CHIR_IDrec7Ky23fW2U3T0P9-137357-AKMulti-Tier Enha,rec7Ky23fW2U3T0P9,non-implanted only,2
United Healthcare Prescription Drug List (Health Plan),,CHIR_IDreca2lnlupkzA6Xmz-137631-AKUnited Healthca,reca2lnlupkzA6Xmz,non-implanted only,8
United Healthcare Advantage 3-Tier Prescription Drug List (Health Plan),,CHIR_IDrecOfsIoR4PwWMAQ8-137632-AKUnited Healthca,recOfsIoR4PwWMAQ8,non-implanted only,8
Marketplace Formulary (Commercial) (OR),,CHIR_IDrecbkwrMwOqsqiMsm-137645-ORMarketplace For,recbkwrMwOqsqiMsm,no devices,0
Marketplace Formulary (Commercial) (OR),,CHIR_IDrectKLQFKg2lcKln8-137645-ORMarketplace For,rectKLQFKg2lcKln8,no devices,0
Marketplace Formulary (Commercial) (OR),,CHIR_IDrectwIqpW10nxaVvW-137645-ORMarketplace For,rectwIqpW10nxaVvW,no devices,0
United Healthcare Advantage 4-Tier Prescription Drug List (Health Plan),,CHIR_IDrecIS7whWQ8iq2JH0-137652-AKUnited Healthca,recIS7whWQ8iq2JH0,non-implanted only,8
UnitedHealthcare Traditional 4-Tier Prescription Drug List (Health Plan),,CHIR_IDrecwwOdnkygdVvZN4-137653-AKUnitedHealthcar,recwwOdnkygdVvZN4,non-implanted only,8
UnitedHealthcare Traditional 3-Tier Prescription Drug List (Health Plan),,CHIR_IDrecdFcsBCD8yKC1Px-137654-AKUnitedHealthcar,recdFcsBCD8yKC1Px,non-implanted only,8
Marketplace Formulary (Commercial) (CA),,CHIR_IDrec5db2IwtNbNL3bZ-137656-CAMarketplace For,rec5db2IwtNbNL3bZ,no devices,0
Marketplace Formulary (Commercial) (CA),,CHIR_IDrecCfyv9JcjATLiSy-137656-CAMarketplace For,recCfyv9JcjATLiSy,no devices,0
Marketplace Formulary (Commercial) (CA),,CHIR_IDreczWCkRnabJ7tAhY-137656-CAMarketplace For,reczWCkRnabJ7tAhY,no devices,0
Essential Drug List 4-Tier (Commercial),,CHIR_IDrecJwQzHVpasI2kwC-137924-AKEssential Drug ,recJwQzHVpasI2kwC,non-implanted only,6
Select Drug List 4-Tier (Individual) (CO),,CHIR_IDrecXoOzNEh6ghaqWX-138004-COSelect Drug Lis,recXoOzNEh6ghaqWX,non-implanted only,4
National Drug List Closed Formulary (Health Plan),,CHIR_IDrecL3pO8evIQahsSV-138034-AKNational Drug L,recL3pO8evIQahsSV,non-implanted only,5
Essential Drug List 3-Tier (Commercial),,CHIR_IDrec2eXFqJZlRhut2n-138035-AKEssential Drug ,rec2eXFqJZlRhut2n,non-implanted only,6
Participating Provider Precertification List,,CHIR_IDrecSnHwUiurQKpz0e-138654-AKParticipating P,recSnHwUiurQKpz0e,no devices,0
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecDkoAM63o54gzgd-138656-WACore/ Access PP,recDkoAM63o54gzgd,no devices,0
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecPPq6pRCppowgLD-138656-WACore/ Access PP,recPPq6pRCppowgLD,no devices,0
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecUJrtctQJTs0vEK-138656-WACore/ Access PP,recUJrtctQJTs0vEK,no devices,0
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrechFlMnx1V49gBin-138660-WALarge Group All,rechFlMnx1V49gBin,non-implanted only,4
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecqXxDEvg0HSuk3S-138660-WALarge Group All,recqXxDEvg0HSuk3S,non-implanted only,4
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecybALANzq2wz3ji-138660-WALarge Group All,recybALANzq2wz3ji,non-implanted only,4
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecVhAbrYzRv2p7DA-138661-WAPEBB SoundChoic,recVhAbrYzRv2p7DA,no devices,0
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecfHTAnRMe3ZZLRM-138661-WAPEBB SoundChoic,recfHTAnRMe3ZZLRM,no devices,0
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),,CHIR_IDrecvrsNIY79WFP4ts-138661-WAPEBB SoundChoic,recvrsNIY79WFP4ts,no devices,0
Medical Exception Form,,CHIR_IDrecPBuK6iej1cdoEA-14123-AKMedical Excepti,recPBuK6iej1cdoEA,no devices,0
Preventive Care Services (Commercial),,CHIR_IDreclALVfi8iehnp55-141523-AKPreventive Care,reclALVfi8iehnp55,no devices,0
Colorado Commercial HMO Formulary (Health Plan) (CO),,CHIR_IDrecJAACO00EJmmqO5-146158-COColorado Commer,recJAACO00EJmmqO5,no devices,0
Colorado Commercial HMO Formulary (Health Plan) (CO),,CHIR_IDrecUnvIULE9mqLTG5-146158-COColorado Commer,recUnvIULE9mqLTG5,no devices,0
Colorado Commercial HMO Formulary (Health Plan) (CO),,CHIR_IDrecjGT53Tkcsz8zGX-146158-COColorado Commer,recjGT53Tkcsz8zGX,no devices,0
Prior Authorization Drug List (National Drug List) (NY),,CHIR_IDrecJ9hbnS6xYNXem2-147764-NYPrior Authoriza,recJ9hbnS6xYNXem2,no devices,0
Diabetic Meters and Test StripsÂ (Non-Formulary),,CHIR_IDreclsxZBomzEwgFlr-149509-AKDiabetic Meters,reclsxZBomzEwgFlr,non-implanted only,4
Marketplace Formulary (Commercial) (WA),,CHIR_IDrec5KejXXbPSAUPPy-149898-WAMarketplace For,rec5KejXXbPSAUPPy,no devices,0
Marketplace Formulary (Commercial) (WA),,CHIR_IDrecQG8vH9nAtMzX8R-149898-WAMarketplace For,recQG8vH9nAtMzX8R,no devices,0
Marketplace Formulary (Commercial) (WA),,CHIR_IDrecRSVUAHau50Dpen-149898-WAMarketplace For,recRSVUAHau50Dpen,no devices,0
"Northwest Commercial Formulary (OR, WA)",,CHIR_IDrec9A89Q8U5Wx6qqg-149900-ORNorthwest Comme,rec9A89Q8U5Wx6qqg,no devices,0
"Northwest Commercial Formulary (OR, WA)",,CHIR_IDrecChxN5fsFrfWDnA-149900-ORNorthwest Comme,recChxN5fsFrfWDnA,no devices,0
"Northwest Commercial Formulary (OR, WA)",,CHIR_IDrectr6JLqgkaFg7d3-149900-ORNorthwest Comme,rectr6JLqgkaFg7d3,no devices,0
"Northwest Specialty Drug List (OR, WA)",,CHIR_IDrecXW650hJM8RPrhN-149904-ORNorthwest Speci,recXW650hJM8RPrhN,no devices,0
"Northwest Specialty Drug List (OR, WA)",,CHIR_IDrecu5QRvnqO9YeqvC-149904-ORNorthwest Speci,recu5QRvnqO9YeqvC,no devices,0
"Northwest Specialty Drug List (OR, WA)",,CHIR_IDrecx3L8RjPLtWZ2FE-149904-ORNorthwest Speci,recx3L8RjPLtWZ2FE,no devices,0
5-Tier Formulary Benefit (Commercial) (GA),,CHIR_IDrecCNYHnT4Fmv9otx-149909-GA5-Tier Formular,recCNYHnT4Fmv9otx,no devices,0
5-Tier Formulary Benefit (Commercial) (GA),,CHIR_IDrecInImoW9cUxQ1PG-149909-GA5-Tier Formular,recInImoW9cUxQ1PG,no devices,0
5-Tier Formulary Benefit (Commercial) (GA),,CHIR_IDrecXqBjB08Zrb3DZj-149909-GA5-Tier Formular,recXqBjB08Zrb3DZj,no devices,0
Marketplace Formulary (Commercial) (CO),,CHIR_IDrec2EwYNXJIEO54Wd-149912-COMarketplace For,rec2EwYNXJIEO54Wd,no devices,0
Marketplace Formulary (Commercial) (CO),,CHIR_IDreclNHh2DW2YafJua-149912-COMarketplace For,reclNHh2DW2YafJua,no devices,0
Marketplace Formulary (Commercial) (CO),,CHIR_IDrecwptfCy3j45CEW7-149912-COMarketplace For,recwptfCy3j45CEW7,no devices,0
Kaiser Permanente Insurance Company (KPIC) POS/PPO Plans Covered Drug List (CO),,CHIR_IDrec7rvu9bfo7wD69K-149916-COKaiser Permanen,rec7rvu9bfo7wD69K,both implanted and non-implanted,9
Kaiser Permanente Insurance Company (KPIC) POS/PPO Plans Covered Drug List (CO),,CHIR_IDrecFxCiHMBW6ciZpm-149916-COKaiser Permanen,recFxCiHMBW6ciZpm,both implanted and non-implanted,9
Kaiser Permanente Insurance Company (KPIC) POS/PPO Plans Covered Drug List (CO),,CHIR_IDrecS3mMrMmlRqS6wO-149916-COKaiser Permanen,recS3mMrMmlRqS6wO,both implanted and non-implanted,9
"EPO, Self-Funded Formulary (Commercial) (CO)",,"CHIR_IDrecSKRlixKNMC2Y6u-149917-COEPO, Self-Funde",recSKRlixKNMC2Y6u,no devices,0
"EPO, Self-Funded Formulary (Commercial) (CO)",,"CHIR_IDrecYp5GMvloAbaqj8-149917-COEPO, Self-Funde",recYp5GMvloAbaqj8,no devices,0
"EPO, Self-Funded Formulary (Commercial) (CO)",,"CHIR_IDrecqQ8sL6kHk7QnGw-149917-COEPO, Self-Funde",recqQ8sL6kHk7QnGw,no devices,0
"Marketplace 4-Tier Formulary (Health Plan) (D.C., MD, VA)",,CHIR_IDrecKqZUasF4iF0I5q-149924-DCMarketplace 4-T,recKqZUasF4iF0I5q,no devices,0
"Marketplace 4-Tier Formulary (Health Plan) (D.C., MD, VA)",,CHIR_IDrecnJqNDwFPItKksZ-149924-DCMarketplace 4-T,recnJqNDwFPItKksZ,no devices,0
"Marketplace 4-Tier Formulary (Health Plan) (D.C., MD, VA)",,CHIR_IDrecv5NpIkFYUBRFFk-149924-DCMarketplace 4-T,recv5NpIkFYUBRFFk,no devices,0
HMO Formulary (Commercial) (GA),,CHIR_IDrecOZdTybbOgEG5fI-149934-GAHMO Formulary (,recOZdTybbOgEG5fI,non-implanted only,1
HMO Formulary (Commercial) (GA),,CHIR_IDrecRu5HwPoyS1Zbjx-149934-GAHMO Formulary (,recRu5HwPoyS1Zbjx,non-implanted only,1
HMO Formulary (Commercial) (GA),,CHIR_IDrecaWy7Yo7u6MPWhH-149934-GAHMO Formulary (,recaWy7Yo7u6MPWhH,non-implanted only,1
Select Drug List 4-Tier (Individual) (CT),,CHIR_IDrecdI1DJLos8NdMmv-150121-CTSelect Drug Lis,recdI1DJLos8NdMmv,non-implanted only,5
National Drug List Closed Formulary (NY),,CHIR_IDrecomfOyXb7Fgp2Za-150284-NYNational Drug L,recomfOyXb7Fgp2Za,non-implanted only,5
Radiation Oncology Coding Manual (eviCore),,CHIR_IDrecbOP5jN0QElo8gr-151341-AKRadiation Oncol,recbOP5jN0QElo8gr,no devices,0
Texas Advantage 3-Tier Prescription Drug List (Health Plan),,CHIR_IDreceUVElnf7Nsi91T-151347-TXTexas Advantage,receUVElnf7Nsi91T,non-implanted only,8
Performance Drug List (Health Plan),,CHIR_IDrechEndiqjYrozhgE-151699-AKPerformance Dru,rechEndiqjYrozhgE,non-implanted only,2
Performance Select Drug List (Health Plan),,CHIR_IDrecZQZuedYBByh8q9-151701-AKPerformance Sel,recZQZuedYBByh8q9,non-implanted only,2
Drug Infusion Site of Care,,CHIR_IDrecDOfmwkz3RctpYA-151722-AKDrug Infusion S,recDOfmwkz3RctpYA,no devices,0
Cigna Standard 3-Tier Prescription Drug List (Health Plan),,CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,recl2FUMKjFmSeaLa,non-implanted only,6
California Small Group 4-Tier PPO Prescription Drug List (Health Plan),,CHIR_IDrecJNdJKgv9IWYs3d-151908-CACalifornia Smal,recJNdJKgv9IWYs3d,non-implanted only,8
United Healthcare Pharmacy Benefit Programs Drug List (Health Plan),,CHIR_IDreckvbmif9yV4s5RY-152009-AKUnited Healthca,reckvbmif9yV4s5RY,no devices,0
Performance Select Drug List (Health Plan),,CHIR_IDrecQSu1ZAZA9mvB0k-152573-AKPerformance Sel,recQSu1ZAZA9mvB0k,non-implanted only,2
Provider E-News,,CHIR_IDrecPWddcsWLg1nvoO-152710-WAProvider E-News,recPWddcsWLg1nvoO,no devices,0
Mid/Large Group 4-Tier Benefit Formulary (Commercial) (GA),,CHIR_IDrec29QelpJxN4jr14-153145-GAMid/Large Group,rec29QelpJxN4jr14,no devices,0
Mid/Large Group 4-Tier Benefit Formulary (Commercial) (GA),,CHIR_IDrecPb2ZgsnNcE8t29-153145-GAMid/Large Group,recPb2ZgsnNcE8t29,no devices,0
Mid/Large Group 4-Tier Benefit Formulary (Commercial) (GA),,CHIR_IDrecyj3Xe5VvSa4nNr-153145-GAMid/Large Group,recyj3Xe5VvSa4nNr,no devices,0
Essential 4-Tier Prescription Drug List (Health Plan),,CHIR_IDrecTs7lLweXRy6EOs-153163-AKEssential 4-Tie,recTs7lLweXRy6EOs,non-implanted only,8
Step Therapy Individual and Family Plan (Commercial),,CHIR_IDrecWKEn7yeq022Vwb-153387-AKStep Therapy In,recWKEn7yeq022Vwb,no devices,0
Unassigned Drug Or Biological Code Medical Precertification,,CHIR_IDrecpB9JqWPOXgCGfY-153390-AKUnassigned Drug,recpB9JqWPOXgCGfY,no devices,0
Care Choices for HSA Plans Medication Guide (FL Health Plan),,CHIR_IDrecyovVyrzy1CxHHQ-154686-AKCare Choices fo,recyovVyrzy1CxHHQ,non-implanted only,5
ValueScript Rx for Simple Choice Plans 4-Tier Medication Guide (Commercial),,CHIR_IDrecPJJp9aJsZKSH2G-154688-FLValueScript Rx ,recPJJp9aJsZKSH2G,non-implanted only,6
Pharmacy Benefit Supply Limits Per Duration (Health Plan),,CHIR_IDrecKF3V8AZuQdoIPP-154928-AKPharmacy Benefi,recKF3V8AZuQdoIPP,non-implanted only,8
New and Therapeutic Equivalent Medications (Prior Authorization),,CHIR_IDrec6lTMn7k1hd3jC3-156484-AKNew and Therape,rec6lTMn7k1hd3jC3,no devices,0
"Device, Equipment and Supplies (WA Commercial)",,"CHIR_IDreczODnKSSaCWQIkO-15738-WADevice, Equipme",reczODnKSSaCWQIkO,no devices,0
Controlled Substance Analgesic and Narcotic Antagonist Quantity Limitations,,CHIR_IDrec4yp79L6miAWPGG-159224-AKControlled Subs,rec4yp79L6miAWPGG,no devices,0
"Observation Services (WA Commercial, WA Medicare)",,CHIR_IDrectvPtPxAKan1Z2L-159249-WAObservation Ser,rectvPtPxAKan1Z2L,no devices,0
Prior Authorization Requirements for UnitedHealthcare Mid-Atlantic Health Plans,,CHIR_IDrecUxJLGjaGDIEIqp-159497-AKPrior Authoriza,recUxJLGjaGDIEIqp,non-implanted only,1
Medication Administration Site of Care,,CHIR_IDreczDBCQsbLVHboOu-160606-AKMedication Admi,reczDBCQsbLVHboOu,no devices,0
Diabetes Prevention Program,,CHIR_IDrecyIduuoAWfigDmQ-163072-CADiabetes Preven,recyIduuoAWfigDmQ,no devices,0
Provider Reconsideration Request Form (WA Commercial),,CHIR_IDrecsdjHFvQkXzrHpC-165925-WAProvider Recons,recsdjHFvQkXzrHpC,no devices,0
Medications with Quantity Limits,,CHIR_IDrec3pddqcPO8MDNag-166201-CAMedications wit,rec3pddqcPO8MDNag,no devices,0
"Clinical Laboratory Improvement Amendments (CLIA) ID Requirement Policy, Professional (Commercial, Individual Exchange)",,CHIR_IDrec04lZ7YXioTdcHm-166207-AKClinical Labora,rec04lZ7YXioTdcHm,no devices,0
Commercial PA Form (IN),,CHIR_IDrecIQBEEQlwDlVNh7-166209-AKCommercial PA F,recIQBEEQlwDlVNh7,no devices,0
"Continuous Glucose Monitors, Sensors and Transmitters (All Brands) (Medical Necessity)",,CHIR_IDrecClC2ytD9Hgfskb-166509-AKContinuous Gluc,recClC2ytD9Hgfskb,non-implanted only,2
"Diabetes Tests, Programs and Supplies (Commercial)",,"CHIR_IDrecOxfjJ2HEqHd69b-16916-AKDiabetes Tests,",recOxfjJ2HEqHd69b,both implanted and non-implanted,10
Health Insurance Marketplace 6-Tier Drug List (Health Plan),,CHIR_IDrecg0T5Hnx6o1Q583-170116-AKHealth Insuranc,recg0T5Hnx6o1Q583,non-implanted only,2
Health Insurance Marketplace 6-Tier Drug List (Health Plan),,CHIR_IDrecoO42qMIDBTzofX-171374-AKHealth Insuranc,recoO42qMIDBTzofX,non-implanted only,2
Miscellaneous Diagnostic Procedures,,CHIR_IDrec5JZLZFF0D6IcBM-171925-AKMiscellaneous D,rec5JZLZFF0D6IcBM,no devices,0
"Durable Medical Equipment (DME), Prosthetics, Corrective Appliances/Orthotics (Non-Foot Orthotics) and Medical Supplies Grid (West CA)",,CHIR_IDreckVTD6zg61do9CQ-172309-CADurable Medical,reckVTD6zg61do9CQ,no devices,0
Enhanced Drug List Dispensing Limits (Health Plan),,CHIR_IDrec8WZnTw38YyIp5v-172343-AKEnhanced Drug L,rec8WZnTw38YyIp5v,both implanted and non-implanted,10
Enhanced Drug List Dispensing Limits (Health Plan),,CHIR_IDrecvzXw6zp6eVcoPe-172343-AKEnhanced Drug L,recvzXw6zp6eVcoPe,both implanted and non-implanted,10
Performance Drug List Dispensing Limits (Health Plan),,CHIR_IDrecPmeP7pR0CdLmM8-172359-AKPerformance Dru,recPmeP7pR0CdLmM8,both implanted and non-implanted,10
Performance Select Drug List Dispensing Limits (Health Plan),,CHIR_IDrecUnRU6plx3NIfFC-172360-AKPerformance Sel,recUnRU6plx3NIfFC,both implanted and non-implanted,10
Step Therapy Legacy Prescription Drugs Lists (Employer Group Plans),,CHIR_IDrecPJ7FQuIKywhJYe-172823-AKStep Therapy Le,recPJ7FQuIKywhJYe,no devices,0
